address,case_id,cluster_name,role,notes
0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,1,Théo,sharp,"Fredi9999. Largest Trump holder. Confirmed Polymarket/Reuters/Bloomberg/WSJ."
0x8119010a6e589062aa03583bb3f39ca632d9f887,1,Théo,sharp,"PrincessCaro. Confirmed cluster member."
0x56687bf447db6ffa42ffe2204a05edaa20f55839,1,Théo,sharp,"Theo4. Confirmed cluster member."
0xed2239a9150c3920000d0094d28fa51c7db03dd0,1,Théo,sharp,"Michie. 4e compte confirmé Reuters/Polymarket. $3.1M profit. Joined Oct 2024. Enrichi via API."
,1,Théo,sharp,"Wallets 5-9 Chainalysis. Adresses non publiées (données propriétaires). +$78.7M cluster 9."
,1,Théo,sharp,"10e wallet Chainalysis. +$4.8M profit. Adresse non publiée."
,1,Théo,unknown,"11e wallet suspecté non confirmé. +$2.1M. Adresse non publiée."
0x1caA6a7ad0c6916aeF7b67946De2e57Ad24846a0,2,Iran Bubblemaps,insider,"560 680 Yes shares @ ~$0.108. Profit ~$494 375. Plus gros gagnant du cluster."
0xa4eb52229991c074bc560f825bf2776d77acd010,2,Iran Bubblemaps,insider,"nothingeverhappens911. Lié à cluster Skoobidoobnj via dépôt Binance partagé. Profil 404."
0x3811e09bb2fa30aff16d9be28c09ee9bba478f61,2,Iran Bubblemaps,insider,
0xdde15ebd95330ce69136dc0ccd810d22382e02c5,2,Iran Bubblemaps,insider,"@Dicedicedice. 150 000 shares @ $0.20. Profit ~$120 000. Joined Feb 27 2026. Enrichi via API."
0x56efadc9defe5b7a21af751e0d026f2cf54136db,2,Iran Bubblemaps,insider,"@Neodbs. $89K profit. 1 prediction. Joined Feb 26 2026. Enrichi via API."
0x38745db27f7360a287f6ca3c9b6a6a9c76149801,2,Iran Bubblemaps,insider,"@Planktonbets. $174K profit. 7 predictions. Joined Feb 17 2026. Enrichi via API."
,2,Iran Bubblemaps,insider,"Anon 6e wallet. 55 556 Yes @ 18¢. +$45 556 (ROI +456%). Concentration 100%."
0x4dfd481c16d9995b809780fd8a9808e8689f6e4a,2,Iran Magamyman,insider,"Magamyman. Actif depuis oct 2024. +$814K P&L (API). Premier trade 71min avant annonce. Enrichi via API."
0x31a56e9E690c621eD21De08Cb559e9524Cdb8eD9,3,Maduro,insider,"Burdensome-Mix. ~$32-34K investi. Profit ~$409 882. Dernier bet <5h avant explosions."
0xa72DB1749e9AC2379D49A3c12708325ED17FeBd4,3,Maduro,insider,"~$5 800 investi. Profit ~$75 000."
,3,Maduro,insider,"SBet365. ~$25 000 investi. Profit ~$145 600. Adresse 0x non publiée. Profil 404."
0x1d9af60c679cd0b577c3c4ccb4b1a4be4174426d,4,Axiom,insider,"predictorxyz (aka JustADegen sur Fomo, trader CRABS). 477 415 Yes Axiom @ avg $0.14. Profit $411 600. Profil 404."
0x054eC2F0cCf,4,Axiom,insider,"Tracé Bubblemaps vers Broox/@WheresBroox via wallet FarpaW. 212K Yes @ $0.33 + No camouflage. Profit ~$421 000. Adresse tronquée dans source."
,4,Axiom,insider,"Anon. 109 450 @ $0.33 pre-reveal."
,4,Axiom,insider,"2 autres addresses. 1 market only each. +$354 000 et +$144 000."
,5,Biden pardons,insider,"Compte 1. Adresse non publiée. Lié par shared Kraken deposit. Screenshot NPR masqué."
,5,Biden pardons,insider,"Compte 2. Adresse non publiée. Lié par shared Kraken deposit."
,6,Nobel Peace Prize,insider,"Compte 6741. Créé 24h avant surge. $2K → $53K. Contre-paris obfuscation. Username exact inconnu."
0x234cc49e43dff8b3207bbd3a8a2579f339cb9867,6,Nobel Peace Prize,insider,"dirtycup. Bet $68-70K YES Machado à 03:41 UTC 10 oct. Profit $30 635. 1 trade. Joined Oct 10 2025. Enrichi via API."
,6,Nobel Peace Prize,insider,"3e compte. Profit ~$10-15K."
0x40d9ac81a425f14d2c490c41ac8969c0cbcfd472,8,Super Bowl halftime,insider,"Créé 7 fév 2026. Trading exclusif SB LX halftime. $47K déployés. 17/20 correct. Profit ~$17K."
,9,AlphaRaccoon,insider/sharp,"0xafEe... (alias AlphaRaccoon, renommé). $3M USDC déposé. 22/23 correct. Profit ~$1M-1.15M. Profil 404 (renamed)."
0x0afc7ce56285bde1fbe3a75efaffdfc86d6530b2,11,Ricosuave666,insider,"$155 699 profit Israel-related. 100% win rate. IDF reservist inculpé. Compte deleted."
0xf5cfe6f998d597085e366f915b140e82e0869fc6,12,Taylor Swift,insider,"romanticpaul. Lifetime -$4 885 avant ce trade. Profit >$3K. 454 predictions. Enrichi via API."
0xe75c5abf0647d8b2b1f5a8f64f3387d7311df6c2,13,Pope Francis,sharp,"syncope. 26 266 shares YES @ 56¢. Profit $155K lifetime (API). 1243 predictions. Sharp money actuariel. Enrichi via API."
0x506bce138df20695c03cd5a59a937499fb00b0fe,15,XRP a4385,insider,"@a4385. 77 000 UP shares @ avg 48¢. Profit $277K (API). Cross-market manipulation revendiquée. Enrichi via API."
