address,alias_if_known,pnl_lifetime,trades_count,k_markets,l_categories,hhi_cat,win_rate_approx,first_trade,last_trade,days_active,temporal_consistency,composite_score,polymarket_url
0x6480542954b70a674a74bd1a6015dec362dc8dc5,tripping,57410666.95,500,144,5,0.3232,0.642,2026-03-03,2026-04-22,49,0.824,2.7384,https://polymarket.com/profile/0x6480542954b70a674a74bd1a6015dec362dc8dc5
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,489209.65,500,373,6,0.3421,0.238,2026-04-14,2026-04-22,7,0.9549,0.4617,https://polymarket.com/profile/0xc8ab97a9089a9ff7e6ef0688e6e591a066946418
0xa66790e2b0075e73c3781ddaf1d0b875a3aaceb3,Elias.Thornwell,86813.91,500,374,6,0.2762,0.972,2026-04-20,2026-04-21,1,0.9538,0.4438,https://polymarket.com/profile/0xa66790e2b0075e73c3781ddaf1d0b875a3aaceb3
0x2f2b21abc4acc31883fc6ee6f8b54da67870d743,LME83,121171.21,500,321,3,0.4975,0.788,2026-03-26,2026-04-22,26,0.8606,0.2893,https://polymarket.com/profile/0x2f2b21abc4acc31883fc6ee6f8b54da67870d743
0xbefa95c276ee8ef6ff3ef43d1c1c454f52bc300d,BabyGroot,199736.85,500,317,6,0.2995,0.474,2026-03-19,2026-04-21,33,0.8085,0.2816,https://polymarket.com/profile/0xbefa95c276ee8ef6ff3ef43d1c1c454f52bc300d
0xe617861a96631d7cefdb1ad43e95c33b5946f251,,78364.59,500,312,5,0.297,0.966,2026-03-27,2026-04-22,25,0.8161,0.2606,https://polymarket.com/profile/0xe617861a96631d7cefdb1ad43e95c33b5946f251
0xf9f207b77137caa79c6c4516abdef3133db45cba,extractive-manatee,657189.74,500,298,4,0.4652,0.782,2026-02-19,2026-04-21,61,0.6757,0.2493,https://polymarket.com/profile/0xf9f207b77137caa79c6c4516abdef3133db45cba
0x45b39e1f71e47fd4afe4b988ffad690b644735bc,onekey09,82697.21,500,303,5,0.369,0.946,2026-02-06,2026-04-22,74,0.785,0.2343,https://polymarket.com/profile/0x45b39e1f71e47fd4afe4b988ffad690b644735bc
0x21064fd320bfd5a86f8c92a94d3209edf4154dea,rainbowlilies,161114.42,500,301,5,0.4918,0.154,2026-01-19,2026-04-22,92,0.6914,0.2324,https://polymarket.com/profile/0x21064fd320bfd5a86f8c92a94d3209edf4154dea
0xc1b399b26020a4f689108e9640fd3dc8ffc8501c,CoffeeLover,300580.62,500,283,6,0.2968,0.806,2026-03-05,2026-04-22,47,0.7883,0.1866,https://polymarket.com/profile/0xc1b399b26020a4f689108e9640fd3dc8ffc8501c
