address,alias_if_known,auto_tier,red_flags_detected,validation_notes,portfolio_value_usd,trades_count,trades_capped,k_markets,l_categories,hhi_cat,win_rate_approx,first_trade,last_trade,days_active,trades_per_day_median,temporal_consistency,composite_score,polymarket_url
0xc6587b11a2209e46dfe3928b31c5514a8e33b784,Erasmus.,A1_candidate,,"A1 strict : 3100 trades / 6 cat / 627j / portfolio $1,393,538",1393537.9077,3100,False,659,6,0.3327,0.8706,2024-08-02,2026-04-21,627,5,0.5443,0.9878,https://polymarket.com/profile/0xc6587b11a2209e46dfe3928b31c5514a8e33b784
0x0c0e270cf879583d6a0142fc817e05b768d0434e,The Spirit of Ukraine>UMA,A1_candidate,,"A1 strict : 2716 trades / 6 cat / 1226j / portfolio $539,315",539314.6607,2716,False,872,6,0.338,0.7927,2022-12-12,2026-04-22,1226,4.0,0.3179,0.801,https://polymarket.com/profile/0x0c0e270cf879583d6a0142fc817e05b768d0434e
0x000d257d2dc7616feaef4ae0f14600fdf50a758e,scottilicious,A1_candidate,,"A1 strict : 3100 trades / 6 cat / 338j / portfolio $987,483",987482.6706,3100,False,592,6,0.3222,0.811,2025-05-18,2026-04-21,338,8,0.7716,0.5517,https://polymarket.com/profile/0x000d257d2dc7616feaef4ae0f14600fdf50a758e
0x011f2d377e56119fb09196dffb0948ae55711122,11122,A1_candidate,,"A1 strict : 3100 trades / 6 cat / 292j / portfolio $535,647",535647.1965,3100,False,1295,6,0.2562,0.6529,2025-07-03,2026-04-22,292,7,0.7621,0.5274,https://polymarket.com/profile/0x011f2d377e56119fb09196dffb0948ae55711122
0x614dc8d3542c12103d2c6a3553fd761e391d1546,mr.ozi,A1_candidate,,"A1 strict : 3100 trades / 6 cat / 429j / portfolio $543,899",543899.4646,3100,False,633,6,0.3148,0.7152,2025-02-16,2026-04-22,429,7,0.5438,0.3432,https://polymarket.com/profile/0x614dc8d3542c12103d2c6a3553fd761e391d1546
0x45b39e1f71e47fd4afe4b988ffad690b644735bc,onekey09,A1_candidate,,"A1 strict : 897 trades / 6 cat / 190j / portfolio $1,155,271",1155270.569,897,False,531,6,0.393,0.9498,2025-10-14,2026-04-22,190,4,0.6641,0.1469,https://polymarket.com/profile/0x45b39e1f71e47fd4afe4b988ffad690b644735bc
0xf5198df69e13937a40d1c76d6f72d9aa067d906b,sbimbg,A1_candidate,,"A1 strict : 1728 trades / 6 cat / 522j / portfolio $105,049",105048.977,1728,False,917,6,0.4019,0.7002,2024-11-15,2026-04-22,522,4,0.4495,-0.0156,https://polymarket.com/profile/0xf5198df69e13937a40d1c76d6f72d9aa067d906b
0x9703676286b93c2eca71ca96e8757104519a69c2,TheMangler,A1_candidate,,"A1 strict : 2018 trades / 4 cat / 562j / portfolio $489,140",489140.4608,2018,False,714,4,0.4351,0.7825,2024-10-01,2026-04-17,562,3,0.493,-0.0926,https://polymarket.com/profile/0x9703676286b93c2eca71ca96e8757104519a69c2
0x2e3ea056400d81c42e2ce26ef25fda4ec5caabea,HDGB,A1_candidate,,"A1 strict : 1140 trades / 6 cat / 233j / portfolio $125,276",125275.8943,1140,False,369,6,0.272,0.5886,2025-08-31,2026-04-21,233,6.0,0.4308,-0.4874,https://polymarket.com/profile/0x2e3ea056400d81c42e2ce26ef25fda4ec5caabea
0xc1b399b26020a4f689108e9640fd3dc8ffc8501c,CoffeeLover,A2_candidate,,"A2 : 3100 trades / 6 cat / 303j / portfolio $82,868",82867.5599,3100,False,1218,6,0.2996,0.7252,2025-06-22,2026-04-22,303,9.0,0.7393,0.2224,https://polymarket.com/profile/0xc1b399b26020a4f689108e9640fd3dc8ffc8501c
0xf9f207b77137caa79c6c4516abdef3133db45cba,extractive-manatee,A2_candidate,,"A2 : 2651 trades / 6 cat / 455j / portfolio $43,567",43566.5828,2651,False,1158,6,0.4669,0.719,2025-01-20,2026-04-21,455,6.0,0.3416,0.175,https://polymarket.com/profile/0xf9f207b77137caa79c6c4516abdef3133db45cba
0x4e25605fd905e9972efc0f4d8814530c655cd7a7,,A2_candidate,,"A2 : 3100 trades / 4 cat / 122j / portfolio $655,008",655008.0281,3100,False,1220,4,0.3666,0.9284,2025-12-20,2026-04-22,122,15.0,0.8632,0.1697,https://polymarket.com/profile/0x4e25605fd905e9972efc0f4d8814530c655cd7a7
0x510904c9a58f5c5ad799a1b44947077564175e9c,Logan.,A2_candidate,,"A2 : 3100 trades / 6 cat / 319j / portfolio $87,038",87038.4484,3100,False,678,6,0.3002,0.7539,2025-06-06,2026-04-22,319,8,0.5922,0.0182,https://polymarket.com/profile/0x510904c9a58f5c5ad799a1b44947077564175e9c
0x16cbe223607a6513ae76d1e3751c78e4eabc2704,MRF,A2_candidate,,"A2 : 3100 trades / 5 cat / 231j / portfolio $107,647",107646.7392,3100,False,1006,5,0.3284,0.8732,2025-09-02,2026-04-21,231,11,0.8678,-0.0406,https://polymarket.com/profile/0x16cbe223607a6513ae76d1e3751c78e4eabc2704
0x6480542954b70a674a74bd1a6015dec362dc8dc5,tripping,A2_candidate,,"A2 : 2299 trades / 6 cat / 383j / portfolio $39,029",39029.2455,2299,False,610,6,0.3078,0.6207,2025-04-04,2026-04-22,383,5,0.6111,-0.1504,https://polymarket.com/profile/0x6480542954b70a674a74bd1a6015dec362dc8dc5
0x095dcfb123a4bc035ee6b0d624bab0cc964352cf,Contrarian - 7451,A2_candidate,,"A2 : 268 trades / 6 cat / 139j / portfolio $1,048,035",1048035.1706,268,False,152,6,0.3037,0.9179,2025-11-30,2026-04-19,139,2.0,0.3948,-0.2138,https://polymarket.com/profile/0x095dcfb123a4bc035ee6b0d624bab0cc964352cf
0xb886580698ede4b18de3e446b2d8da8bcedd81b3,0xB886580698eDE4b18DE3E446b2D8Da8bCEdd81B3-1767532547794,A2_candidate,,"A2 : 2169 trades / 6 cat / 107j / portfolio $154,169",154169.4484,2169,False,673,6,0.3765,0.8446,2026-01-04,2026-04-22,107,12.5,0.8101,-0.2286,https://polymarket.com/profile/0xb886580698ede4b18de3e446b2d8da8bcedd81b3
