question,slug,url,volume24hr,volumeTotal,liquidity,endDate,category,outcomes
Will there be no change in Fed interest rates after the April 2026 meeting?,will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,https://polymarket.com/event/will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,2031617.982625999,26516746.22138003,2222908.06511,2026-04-29T00:00:00Z,Fed,Yes=0.9935 / No=0.0065
Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,1152812.4243159997,25417775.116944004,867856.36941,2026-04-29T00:00:00Z,Fed,Yes=0.0025 / No=0.9975
Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,834782.2519759997,30688782.45686024,1574543.1534,2026-04-29T00:00:00Z,Fed,Yes=0.0025 / No=0.9975
Will Kevin Warsh be confirmed as Fed Chair?,will-kevin-warsh-be-confirmed-as-fed-chair,https://polymarket.com/event/will-kevin-warsh-be-confirmed-as-fed-chair,816496.7464359994,8730419.533830885,104196.1194,2026-10-31T00:00:00Z,Fed,Yes=0.943 / No=0.057
Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,678227.6250000001,44861554.917000346,8919081.83994,2026-04-29T00:00:00Z,Fed,Yes=0.0015 / No=0.9985
Will Judy Shelton be confirmed as Fed Chair?,will-judy-shelton-be-confirmed-as-fed-chair,https://polymarket.com/event/will-judy-shelton-be-confirmed-as-fed-chair,193597.88187099958,14416960.608340295,298618.67188,2026-10-31T00:00:00Z,Fed,Yes=0.013 / No=0.987
Will there be no change in Fed interest rates after the June 2026 meeting?,will-there-be-no-change-in-fed-interest-rates-after-the-june-2026-meeting,https://polymarket.com/event/will-there-be-no-change-in-fed-interest-rates-after-the-june-2026-meeting,124803.38084600003,1801604.9800490087,288491.4327,2026-06-17T00:00:00Z,Fed,Yes=0.925 / No=0.075
Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,will-the-fed-decrease-interest-rates-by-50-bps-after-the-june-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-50-bps-after-the-june-2026-meeting,55184.34131499998,2672947.670533022,248049.3082,2026-06-17T00:00:00Z,Fed,Yes=0.0085 / No=0.9915
Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-june-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-25-bps-after-the-june-2026-meeting,53987.31775400001,1445611.6410550014,105190.2972,2026-06-17T00:00:00Z,Fed,Yes=0.0465 / No=0.9535
Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-june-2026-meeting,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-25-bps-after-the-june-2026-meeting,48720.284097,1888418.8008590026,191831.32278,2026-06-17T00:00:00Z,Fed,Yes=0.0185 / No=0.9815
